wanted,position,positionid,from,start,end
Q463680,Minister of the Interior,Q18913269,Q952472,2016-11-28,2019-06-27
Q3078007,Minister of Education and Research,Q12312037,Q3082669,2016-02-29,2016-11-28
Q12303134,Minister of Tax,Q7689385,Q531763,2014-02-03,2014-09-02
Q270820,Minister of Economic and Business Affairs,Q108538548,Q912762,2010-02-23,2011-10-03
Q3078007,Minister for Development Cooperation,Q6865806,Q3082669,2009-04-07,2010-02-23
Q1579014,Minister of Transport,Q20069142,Q917179,2008-09-10,2010-02-23
Q917179,Minister of Economic and Business Affairs,Q108538548,Q299352,2008-09-10,2010-02-23
Q567098,Minister for Nordic Co-operation,Q11991832,Q237797,2005-02-18,2007-11-23
Q1579014,"Minister for Food, Agriculture and Fisheries",Q24300568,Q236387,2001-11-27,2004-08-02
Q816805,Minister for Economic Affairs,Q27990812,Q454615,1993-01-25,2001-11-27
