item,itemLabel,startDate,endDate
Q947789,Carl Christoffer Georg Andræ,1850-01-30,1852-08-03
Q708414,Johan Nicolai Madvig,1852-10-04,1853-06-12
Q1037599,Carl Edvard Rotwitt,1853-06-13,1859-12-02
Q5585811,Laurids Nørgaard Bregendahl,1859-12-03,1870-12-02
Q6302621,Christopher Krabbe,1870-12-03,1883-09-30
Q321538,Christen Berg,1883-10-01,1887-10-02
Q5820866,Sofus Høgsbro,1887-10-03,1894-12-16
Q5609720,Rasmus Claussen,1894-12-17,1895-04-16
Q5820866,Sofus Høgsbro,1895-04-17,1901-10-04
Q1610360,Herman Trier,1901-10-05,1905-01-30
Q12301478,Anders Thomsen,1905-01-31,1912-03-14
Q1274220,Jens Christian Christensen,1912-03-15,1913-06-13
Q12328870,Niels Pedersen-Nyskov,1913-06-14,1922-03-29
Q12320796,Jørgen Jensen-Klejs,1922-04-07,1924-04-10
Q12315505,Hans Peter Hansen,1924-04-30,1932-11-24
Q12313786,Gerhard Nielsen,1932-11-30,1933-05-01
Q12315530,Hans Rasmussen,1933-05-09,1945-10-30
Q5581432,Julius Bomholt,1945-11-22,1950-02-22
Q12314696,Gustav Pedersen,1950-02-23,1964-09-22
Q5581432,Julius Bomholt,1964-10-06,1968-01-22
Q6372265,Karl Skytte,1968-02-06,1978-09-30
Q151763,Knud Børge Andersen,1978-10-03,1981-12-08
Q5827280,Svend Jakobsen,1981-12-22,1989-01-10
Q3375922,Erik Ninn-Hansen,1989-01-10,1989-10-03
Q12314865,H. P. Clausen,1989-10-03,1993-01-15
Q6163702,Henning Rasmussen,1993-01-27,1994-10-05
Q1101406,Erling Olsen,1994-10-05,1998-03-11
Q3368105,Ivar Hansen,1998-03-26,2003-03-11
Q1424299,Svend Auken,2003-03-11,2003-03-18
Q4358003,Christian Mejdahl,2003-03-18,2007-11-13
Q1371946,Thor Pedersen,2007-11-28,2011-10-04
Q1937560,Mogens Lykketoft,2011-10-04,2015-07-03
Q272924,Pia Kjærsgaard,2015-07-03,2019-06-21
Q1358896,Henrik Dam Kristensen,2019-06-21,
